,Курс,Регион,Муниципалитет,Школа,user_id,Класс,Всего просмотров уроков,Из них онлайн,Из них в записи,Решал задач,Всего задач,Набрал баллов,Всего баллов
0,755,Амурская область,Магдагачинский р-н,SCHOOL-F96A-D5C4-668F,665767,7 класс,228,4,224,216,216,203.2,224
1,755,Амурская область,Магдагачинский р-н,SCHOOL-9041-271D-45DC,665780,7 класс,160,0,160,120,216,92.4,224
2,755,Амурская область,Магдагачинский р-н,SCHOOL-9041-271D-45DC,665781,7 класс,252,0,252,212,216,165.72,224
3,755,Амурская область,Сковородинский р-н,SCHOOL-583C-051A-FCFF,665782,7 класс,4,0,4,0,216,0.0,224
4,755,Амурская область,Магдагачинский р-н,SCHOOL-9041-271D-45DC,665787,7 класс,96,0,96,216,216,169.72,224
5,755,Амурская область,Магдагачинский р-н,SCHOOL-9041-271D-45DC,665788,7 класс,132,0,132,116,216,86.68,224
6,755,Амурская область,Сковородинский р-н,SCHOOL-583C-051A-FCFF,665789,7 класс,28,0,28,20,216,20.0,224
7,755,Амурская область,Магдагачинский р-н,SCHOOL-9041-271D-45DC,665790,7 класс,52,0,52,60,216,50.68,224
8,755,Амурская область,Магдагачинский р-н,SCHOOL-9041-271D-45DC,665791,7 класс,116,0,116,80,216,62.68,224
9,755,Амурская область,Магдагачинский р-н,SCHOOL-9041-271D-45DC,665792,7 класс,28,0,28,40,216,36.0,224
10,755,Амурская область,Сковородинский р-н,SCHOOL-583C-051A-FCFF,665793,7 класс,4,0,4,0,216,0.0,224
11,755,Амурская область,г Зея,SCHOOL-02E7-69FC-1C43,665796,7 класс,40,0,40,20,216,20.0,224
12,755,Амурская область,г Зея,SCHOOL-02E7-69FC-1C43,665797,7 класс,0,0,0,0,216,0.0,224
13,755,Амурская область,Белогорский р-н,SCHOOL-D1D3-5673-CD79,665806,7 класс,56,0,56,0,216,0.0,224
14,755,Амурская область,Магдагачинский р-н,SCHOOL-9041-271D-45DC,665807,7 класс,172,4,168,144,216,94.4,224
15,755,Амурская область,Белогорский р-н,SCHOOL-D1D3-5673-CD79,665808,7 класс,0,0,0,0,216,0.0,224
16,755,Амурская область,Тамбовский р-н,SCHOOL-255D-3B16-0013,665856,7 класс,4,0,4,0,216,0.0,224
17,755,Амурская область,Тамбовский р-н,SCHOOL-255D-3B16-0013,665857,7 класс,0,0,0,0,216,0.0,224
18,755,Амурская область,Тамбовский р-н,SCHOOL-255D-3B16-0013,665858,7 класс,128,0,128,176,216,143.32,224
19,755,Амурская область,Тамбовский р-н,SCHOOL-4CC5-E69A-9D02,665859,7 класс,8,0,8,0,216,0.0,224
20,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665906,7 класс,60,4,56,40,216,18.68,224
21,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665907,7 класс,160,4,156,160,216,135.32,224
22,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665908,7 класс,16,4,12,100,216,62.68,224
23,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665909,7 класс,68,0,68,136,216,112.0,224
24,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665910,7 класс,36,0,36,52,216,39.32,224
25,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665911,7 класс,16,0,16,20,216,17.72,224
26,755,Амурская область,Зейский р-н,SCHOOL-DE20-94CD-A995,665915,7 класс,16,0,16,20,216,20.0,224
27,755,Амурская область,Тамбовский р-н,SCHOOL-4CC5-E69A-9D02,665916,7 класс,0,0,0,0,216,0.0,224
28,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665918,7 класс,176,16,160,156,216,112.0,224
29,755,Амурская область,Тамбовский р-н,SCHOOL-4CC5-E69A-9D02,665919,7 класс,0,0,0,0,216,0.0,224
30,755,Амурская область,Зейский р-н,SCHOOL-F47F-8E62-FE8E,665920,7 класс,0,0,0,0,216,0.0,224
31,755,Амурская область,Зейский р-н,SCHOOL-F47F-8E62-FE8E,665921,7 класс,0,0,0,0,216,0.0,224
32,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665922,7 класс,68,0,68,136,216,61.72,224
33,755,Амурская область,Тамбовский р-н,SCHOOL-4CC5-E69A-9D02,665923,7 класс,12,0,12,0,216,0.0,224
34,755,Амурская область,г Благовещенск,SCHOOL-AB91-E4F4-8159,665924,7 класс,20,0,20,20,216,18.68,224
35,755,Амурская область,г Благовещенск,SCHOOL-AB91-E4F4-8159,665925,7 класс,12,0,12,0,216,0.0,224
36,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665927,7 класс,0,0,0,0,216,0.0,224
37,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665928,7 класс,32,0,32,52,216,40.0,224
38,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665929,7 класс,36,0,36,20,216,12.0,224
39,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665930,7 класс,24,0,24,0,216,0.0,224
40,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665931,7 класс,196,0,196,196,216,77.96,224
41,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665932,7 класс,28,0,28,20,216,11.04,224
42,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665934,7 класс,252,4,248,196,216,78.12,224
43,755,Амурская область,Белогорский р-н,SCHOOL-FA85-5046-AB27,665935,7 класс,4,0,4,0,216,0.0,224
44,755,Амурская область,Зейский р-н,SCHOOL-D4D3-2EA9-A054,665936,7 класс,0,0,0,0,216,0.0,224
45,755,Амурская область,Зейский р-н,SCHOOL-D4D3-2EA9-A054,665937,7 класс,0,0,0,0,216,0.0,224
46,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665938,7 класс,52,0,52,68,216,51.32,224
47,755,Амурская область,Зейский р-н,SCHOOL-84D2-CD72-9ACF,665939,7 класс,0,0,0,0,216,0.0,224
48,755,Амурская область,Зейский р-н,SCHOOL-84D2-CD72-9ACF,665940,7 класс,0,0,0,0,216,0.0,224
49,755,Амурская область,Зейский р-н,SCHOOL-D4D3-2EA9-A054,665941,7 класс,224,0,224,140,216,100.0,224
50,755,Амурская область,Тамбовский р-н,SCHOOL-4CC5-E69A-9D02,665942,7 класс,4,0,4,0,216,0.0,224
51,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665943,7 класс,140,0,140,80,216,54.4,224
52,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665944,7 класс,76,0,76,104,216,66.68,224
53,755,Амурская область,Тамбовский р-н,SCHOOL-4CC5-E69A-9D02,665945,7 класс,16,0,16,0,216,0.0,224
54,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665946,7 класс,0,0,0,0,216,0.0,224
55,755,Амурская область,г Белогорск,SCHOOL-691E-377B-6A06,665947,7 класс,0,0,0,0,216,0.0,224
56,755,Амурская область,Тамбовский р-н,SCHOOL-80EF-6E95-3122,665948,7 класс,16,0,16,0,216,0.0,224
57,755,Амурская область,Тамбовский р-н,SCHOOL-80EF-6E95-3122,665949,7 класс,0,0,0,0,216,0.0,224
58,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665953,7 класс,12,0,12,176,216,143.32,224
59,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665954,7 класс,20,0,20,136,216,103.32,224
60,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665955,7 класс,60,0,60,196,216,180.0,224
61,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665956,7 класс,4,0,4,0,216,0.0,224
62,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665958,7 класс,0,0,0,0,216,0.0,224
63,755,Амурская область,г Зея,SCHOOL-1B1D-0893-92F1,665962,7 класс,80,0,80,120,216,56.0,224
64,755,Амурская область,г Зея,SCHOOL-1B1D-0893-92F1,665965,7 класс,0,0,0,0,216,0.0,224
65,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665966,7 класс,36,0,36,176,216,172.0,224
66,755,Амурская область,г Зея,SCHOOL-1B1D-0893-92F1,665967,7 класс,0,0,0,0,216,0.0,224
67,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665969,7 класс,16,0,16,20,216,20.0,224
68,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665970,7 класс,24,4,20,40,216,38.68,224
69,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665971,7 класс,60,0,60,116,216,88.0,224
70,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665972,7 класс,24,0,24,100,216,75.32,224
71,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665973,7 класс,12,0,12,76,216,68.0,224
72,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665974,7 класс,20,0,20,60,216,56.0,224
73,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665975,7 класс,16,0,16,100,216,100.0,224
74,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665976,7 класс,36,0,36,136,216,109.72,224
75,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665977,7 класс,24,0,24,80,216,66.0,224
76,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,665978,7 класс,12,0,12,0,216,0.0,224
77,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665979,7 класс,68,0,68,116,216,104.0,224
78,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665980,7 класс,12,0,12,196,216,195.32,224
79,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665981,7 класс,0,0,0,0,216,0.0,224
80,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665982,7 класс,16,0,16,156,216,140.0,224
81,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665983,7 класс,0,0,0,0,216,0.0,224
82,755,Амурская область,Серышевский р-н,SCHOOL-0059-64E9-E954,665984,7 класс,0,0,0,0,216,0.0,224
83,755,Амурская область,Серышевский р-н,SCHOOL-0059-64E9-E954,665985,7 класс,0,0,0,0,216,0.0,224
84,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665986,7 класс,8,0,8,32,216,21.6,224
85,755,Амурская область,Тамбовский р-н,SCHOOL-80EF-6E95-3122,665988,7 класс,4,4,0,0,216,0.0,224
86,755,Амурская область,Серышевский р-н,SCHOOL-0059-64E9-E954,665991,7 класс,20,0,20,0,216,0.0,224
87,755,Амурская область,г Зея,SCHOOL-1B1D-0893-92F1,665992,7 класс,4,0,4,0,216,0.0,224
88,755,Амурская область,Серышевский р-н,SCHOOL-31A0-3A67-FF6C,665993,7 класс,0,0,0,0,216,0.0,224
89,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,665994,7 класс,208,0,208,216,216,143.04,224
90,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,665995,7 класс,56,0,56,60,216,41.88,224
91,755,Амурская область,Белогорский р-н,SCHOOL-02B8-A6FA-6F07,665996,7 класс,40,0,40,88,216,48.0,224
92,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,665997,7 класс,180,0,180,156,216,132.0,224
93,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,665998,7 класс,224,0,224,216,216,146.4,224
94,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,665999,7 класс,104,0,104,216,216,178.4,224
95,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666000,7 класс,236,0,236,216,216,169.32,224
96,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666001,7 класс,48,0,48,116,216,104.0,224
97,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666002,7 класс,236,0,236,188,216,134.4,224
98,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666003,7 класс,140,0,140,176,216,136.0,224
99,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666004,7 класс,200,0,200,216,216,140.8,224
100,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666005,7 класс,224,0,224,216,216,134.4,224
101,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666006,7 класс,220,4,216,216,216,126.4,224
102,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666007,7 класс,252,0,252,216,216,156.0,224
103,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666008,7 класс,176,0,176,196,216,157.72,224
104,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666009,7 класс,12,0,12,0,216,0.0,224
105,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666010,7 класс,12,0,12,0,216,0.0,224
106,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666011,7 класс,24,0,24,20,216,18.4,224
107,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666012,7 класс,12,0,12,0,216,0.0,224
108,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666013,7 класс,12,0,12,0,216,0.0,224
109,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666014,7 класс,12,0,12,0,216,0.0,224
110,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666015,7 класс,12,0,12,0,216,0.0,224
111,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666016,7 класс,12,0,12,0,216,0.0,224
112,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666017,7 класс,8,0,8,0,216,0.0,224
113,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666018,7 класс,0,0,0,0,216,0.0,224
114,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666019,7 класс,12,0,12,0,216,0.0,224
115,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666020,7 класс,12,0,12,0,216,0.0,224
116,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666021,7 класс,12,0,12,0,216,0.0,224
117,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666022,7 класс,12,0,12,0,216,0.0,224
118,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666023,7 класс,12,0,12,0,216,0.0,224
119,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666024,7 класс,12,0,12,0,216,0.0,224
120,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666025,7 класс,4,4,0,0,216,0.0,224
121,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666026,7 класс,12,0,12,0,216,0.0,224
122,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666027,7 класс,12,0,12,0,216,0.0,224
123,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666028,7 класс,0,0,0,0,216,0.0,224
124,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666030,7 класс,12,0,12,0,216,0.0,224
125,755,Амурская область,Ивановский р-н,SCHOOL-5A89-86AE-6587,666033,7 класс,0,0,0,0,216,0.0,224
126,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666034,7 класс,200,0,200,180,216,128.8,224
127,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666035,7 класс,156,0,156,160,216,124.64,224
128,755,Амурская область,Ивановский р-н,SCHOOL-5A89-86AE-6587,666037,7 класс,0,0,0,0,216,0.0,224
129,755,Амурская область,Сковородинский р-н,SCHOOL-583C-051A-FCFF,666039,7 класс,36,0,36,32,216,25.72,224
130,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666040,7 класс,124,0,124,136,216,72.0,224
131,755,Амурская область,Сковородинский р-н,SCHOOL-583C-051A-FCFF,666041,7 класс,0,0,0,0,216,0.0,224
132,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666042,7 класс,16,0,16,20,216,14.68,224
133,755,Амурская область,Магдагачинский р-н,SCHOOL-3528-453C-0063,666043,7 класс,72,0,72,136,216,78.92,224
134,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666044,7 класс,20,0,20,20,216,19.2,224
135,755,Амурская область,Серышевский р-н,SCHOOL-31A0-3A67-FF6C,666045,7 класс,52,0,52,80,216,63.32,224
136,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666046,7 класс,20,0,20,20,216,17.08,224
137,755,Амурская область,Тамбовский р-н,SCHOOL-4F57-B09A-0553,666047,7 класс,12,0,12,60,216,48.0,224
138,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666048,7 класс,140,0,140,116,216,71.04,224
139,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666049,7 класс,216,0,216,180,216,45.88,224
140,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666050,7 класс,116,8,108,100,216,18.68,224
141,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666051,7 класс,32,0,32,0,216,0.0,224
142,755,Амурская область,Ивановский р-н,SCHOOL-5A89-86AE-6587,666052,7 класс,0,0,0,0,216,0.0,224
143,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666053,7 класс,24,0,24,28,216,21.08,224
144,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666054,7 класс,40,4,36,136,216,23.72,224
145,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666055,7 класс,28,0,28,52,216,13.2,224
146,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666056,7 класс,28,0,28,68,216,47.32,224
147,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666058,7 класс,28,0,28,20,216,20.0,224
148,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666059,7 класс,12,0,12,0,216,0.0,224
149,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666062,7 класс,16,0,16,0,216,0.0,224
150,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666064,7 класс,0,0,0,0,216,0.0,224
151,755,Амурская область,Серышевский р-н,SCHOOL-31A0-3A67-FF6C,666065,7 класс,0,0,0,0,216,0.0,224
152,755,Амурская область,г Благовещенск,SCHOOL-AB91-E4F4-8159,666066,7 класс,0,0,0,0,216,0.0,224
153,755,Амурская область,г Райчихинск,SCHOOL-78EE-0C95-F84D,666067,7 класс,28,0,28,100,216,96.0,224
154,755,Амурская область,г Благовещенск,SCHOOL-AB91-E4F4-8159,666068,7 класс,0,0,0,0,216,0.0,224
155,755,Амурская область,г Благовещенск,SCHOOL-FAC9-FE43-7DB0,666069,7 класс,0,0,0,0,216,0.0,224
156,755,Амурская область,г Благовещенск,SCHOOL-AB91-E4F4-8159,666070,7 класс,0,0,0,0,216,0.0,224
157,755,Амурская область,Октябрьский р-н,SCHOOL-F2C8-3520-49F0,666071,7 класс,144,0,144,196,216,163.84,224
158,755,Амурская область,г Благовещенск,SCHOOL-4ABF-2FD7-477E,666072,7 класс,12,0,12,0,216,0.0,224
159,755,Амурская область,г Благовещенск,SCHOOL-B1C9-FBD0-C026,666075,7 класс,0,0,0,0,216,0.0,224
160,755,Амурская область,г Благовещенск,SCHOOL-B1C9-FBD0-C026,666076,7 класс,0,0,0,0,216,0.0,224
161,755,Амурская область,г Благовещенск,SCHOOL-B1C9-FBD0-C026,666077,7 класс,0,0,0,0,216,0.0,224
162,755,Амурская область,г Благовещенск,SCHOOL-B1C9-FBD0-C026,666078,7 класс,0,0,0,0,216,0.0,224
163,755,Амурская область,г Благовещенск,SCHOOL-B1C9-FBD0-C026,666079,7 класс,0,0,0,0,216,0.0,224
164,755,Амурская область,г Благовещенск,SCHOOL-B1C9-FBD0-C026,666080,7 класс,0,0,0,0,216,0.0,224
165,755,Амурская область,г Благовещенск,SCHOOL-B1C9-FBD0-C026,666081,7 класс,116,0,116,216,216,164.0,224
166,755,Амурская область,г Благовещенск,SCHOOL-B1C9-FBD0-C026,666082,7 класс,0,0,0,0,216,0.0,224
167,755,Амурская область,г Благовещенск,SCHOOL-B1C9-FBD0-C026,666083,7 класс,0,0,0,0,216,0.0,224
168,755,Амурская область,г Благовещенск,SCHOOL-B1C9-FBD0-C026,666084,7 класс,0,0,0,0,216,0.0,224
169,755,Амурская область,Серышевский р-н,SCHOOL-31A0-3A67-FF6C,666085,7 класс,12,4,8,0,216,0.0,224
170,755,Амурская область,г Благовещенск,SCHOOL-B1C9-FBD0-C026,666089,7 класс,0,0,0,0,216,0.0,224
