,id,course_id,conspect_expected,task_expected,lesson_number,wk_max_points,wk_task_count,wk_survival_training_expected,wk_scratch_playground_enabled,wk_attendance_tracking_enabled,wk_video_duration
0,5553,757,False,False,,,,False,False,False,
1,5937,761,False,False,,,,False,False,False,
2,5940,761,False,False,,,,False,False,False,
3,5653,758,False,False,8.0,,,False,False,False,
4,5652,758,False,False,7.0,,,False,False,False,
5,5574,758,False,False,4.0,,,False,False,False,
6,5572,758,False,False,2.0,,,False,False,False,
7,5511,755,False,True,1.0,5.0,5.0,False,False,False,
8,5927,760,False,False,,,,False,False,False,
9,6027,761,False,False,,,,False,False,False,
10,5916,760,False,False,,,,False,False,False,
11,5920,760,False,False,,,,False,False,False,
12,6041,758,False,False,33.0,,,False,False,False,
13,5555,757,False,True,1.0,5.0,5.0,False,False,False,
14,5980,761,False,False,,,,False,False,False,
15,5992,761,False,False,,,,False,False,False,
16,5999,761,False,False,,,,False,False,False,
17,6038,758,False,False,30.0,,,False,False,False,
18,5535,756,False,False,,,,False,False,False,
19,5562,757,False,False,,,,False,False,False,
20,5951,761,False,False,,,,False,False,False,
21,6039,758,False,False,31.0,,,False,False,False,
22,5943,761,False,False,,,,False,False,False,
23,5947,761,False,True,5.0,5.0,5.0,False,False,False,
24,6180,758,False,False,77.0,,,False,False,False,
25,6042,758,False,False,34.0,,,False,False,False,
26,5979,761,False,False,15.0,,,False,False,False,
27,5559,757,False,False,,,,False,False,False,
28,5563,757,False,False,,,,False,False,False,
29,6040,758,False,False,32.0,,,False,False,False,
30,5985,761,False,False,17.0,,,False,False,False,
31,6097,758,False,False,57.0,,,False,False,False,
32,6043,758,False,False,35.0,,,False,False,False,
33,5684,756,False,True,12.0,5.0,5.0,False,False,False,
34,5959,761,False,False,9.0,,,False,False,False,
35,6098,758,False,False,58.0,,,False,False,False,
36,6181,758,False,False,78.0,,,False,False,False,
37,5977,761,False,False,,,,False,False,False,
38,5633,755,False,False,,,,False,False,False,6.0
39,6182,758,False,False,79.0,,,False,False,False,
40,6183,758,False,False,80.0,,,False,False,False,
41,5769,757,False,True,13.0,5.0,5.0,False,False,False,
42,5608,756,False,True,8.0,5.0,5.0,False,False,False,
43,5746,756,False,False,,,,False,False,False,
44,5738,756,False,False,28.0,,,False,False,False,
45,5751,757,False,False,,,,False,False,False,2.0
46,5742,756,False,False,29.0,,,False,False,False,
47,5745,756,False,False,30.0,,,False,False,False,
48,5757,757,False,False,,,,False,False,False,8.0
49,5753,757,False,True,8.0,5.0,5.0,False,False,False,
50,5775,757,False,True,15.0,5.0,5.0,False,False,False,
51,5622,755,False,True,16.0,5.0,5.0,False,False,False,
52,5792,757,False,False,20.0,,,False,False,False,
53,5654,758,False,False,9.0,,,False,False,False,
54,5585,755,False,False,,,,False,False,False,6.0
55,6028,761,False,False,30.0,,,False,False,False,
56,5922,760,False,False,28.0,,,False,False,False,
57,5948,761,False,False,,,,False,False,False,
58,5612,759,False,False,1.0,,,False,False,False,
59,5615,759,False,False,4.0,,,False,False,False,
60,6044,758,False,False,36.0,,,False,False,False,
61,5613,759,False,False,2.0,,,False,False,False,
62,5616,759,False,False,5.0,,,False,False,False,
