,user_id,school_class_id,enter_at,exit_at
0,665767,75619,2025-10-07T07:25:13.709624+03:00,
1,665767,75676,2025-10-13T12:16:26.548721+03:00,
2,665788,75624,2025-10-08T07:18:23.972166+03:00,2025-10-08T07:18:58.82068+03:00
3,665788,75623,2025-10-08T07:18:58.899051+03:00,
4,665788,75685,2025-10-13T15:24:34.013738+03:00,
5,667623,75843,2025-10-21T18:46:16.047954+03:00,
6,667623,75897,2025-11-20T14:41:27.482682+03:00,
7,667888,75969,2025-10-23T10:59:14.139769+03:00,
8,667888,75981,2025-10-23T11:34:10.934323+03:00,
9,668076,76006,2025-10-27T06:22:01.485767+03:00,
10,668076,75896,2025-10-27T06:25:12.616067+03:00,
11,669160,76148,2025-11-09T19:05:27.688885+03:00,
12,669160,76059,2025-11-09T19:00:04.041707+03:00,
13,670642,76442,2025-11-18T16:59:26.236809+03:00,
14,670642,76444,2025-11-18T19:16:54.821955+03:00,
15,671753,76669,2025-11-25T15:00:32.356709+03:00,
16,671753,76671,2025-11-25T15:00:46.148481+03:00,
17,672661,76868,2025-12-04T15:16:43.605672+03:00,
18,672661,76872,2025-12-04T15:30:42.926329+03:00,
19,674171,77195,2026-01-14T03:46:32.753645+03:00,
20,674171,77074,2026-01-14T03:50:41.437151+03:00,
